age,gender,education_level,employment_status,job_title,has_loan,loan_type,loan_term_months,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,monthly_income_rm,monthly_expenses_rm,savings_rm,loan_amount_rm,monthly_emi_rm
60,Male,Master,Self-employed,Teacher,No,No Loan,0,0.0,0.0,802,5.65,Asia,36626.254,20016.783000000003,2483145.7830000003,0.0,0.0
40,Male,High School,Employed,Accountant,No,No Loan,0,0.0,0.0,324,3.47,Asia,24948.587,17819.345,1039276.455,0.0,0.0
69,Male,High School,Employed,Salesperson,Yes,Business,24,28.01,1.35,353,9.75,Asia,26949.706,21585.878,3152933.4770000004,661132.221,36291.943
24,Male,Master,Employed,Engineer,No,No Loan,0,0.0,0.0,407,7.83,Asia,5590.650000000001,3864.5750000000003,525371.358,0.0,0.0
29,Female,Bachelor,Unemployed,Driver,Yes,Home,120,24.51,0.46,342,1.95,Asia,35355.186,23741.157000000003,826350.569,725949.639,16264.726
25,Male,Other,Employed,Student,Yes,Car,36,18.81,3.81,738,5.46,Asia,18797.039,12243.218,1231493.2950000002,1956967.999,71546.784
43,Male,PhD,Employed,Driver,No,No Loan,0,0.0,0.0,531,6.18,Asia,8533.649000000001,4135.953,632344.9560000001,0.0,0.0
58,Male,High School,Employed,Accountant,Yes,Business,36,20.77,1.91,572,0.71,Asia,7756.504,4085.3810000000003,66472.993,394142.987,14802.838
35,Male,Master,Employed,Doctor,Yes,Business,60,8.42,0.94,577,5.28,Asia,29991.170000000002,20053.302,1901776.51,1380509.0980000002,28270.077
38,Male,Other,Employed,Driver,No,No Loan,0,0.0,0.0,352,0.69,Asia,29167.542,11985.047000000002,241476.55299999999,0.0,0.0
27,Female,Bachelor,Self-employed,Driver,Yes,Home,180,16.82,0.37,446,2.1,Asia,36992.008,15191.716000000002,933401.623,907881.1400000001,13856.681
43,Female,Master,Employed,Accountant,No,No Loan,0,0.0,0.0,739,7.42,Asia,36990.457,25095.462,3294900.1259999997,0.0,0.0
35,Female,Bachelor,Self-employed,Engineer,No,No Loan,0,0.0,0.0,426,0.69,Asia,22886.838,18763.857,189561.105,0.0,0.0
52,Male,High School,Self-employed,Doctor,Yes,Business,24,27.05,0.65,520,2.04,Asia,24246.548000000003,20317.254,594519.591,290112.012,15783.728
23,Female,High School,Employed,Accountant,Yes,Car,360,10.93,1.57,508,8.14,Asia,12260.467,6622.9580000000005,1197230.859,2029819.409,19223.141000000003
40,Male,Bachelor,Unemployed,Accountant,Yes,Education,240,20.06,3.04,674,3.35,Asia,8849.066,3461.127,356021.898,1580058.784,26916.853
52,Male,Master,Self-employed,Driver,No,No Loan,0,0.0,0.0,791,8.27,Asia,26521.677,20879.092,2631881.5600000005,0.0,0.0
30,Female,Master,Employed,Unemployed,No,No Loan,0,0.0,0.0,451,3.38,Asia,21915.959000000003,15549.903,889702.057,0.0,0.0
43,Male,Bachelor,Employed,Unemployed,Yes,Home,300,26.52,1.71,411,4.51,Asia,20132.591,6101.869000000001,1089468.131,1558024.432,34481.268
24,Male,Master,Self-employed,Manager,No,No Loan,0,0.0,0.0,300,3.14,Asia,30694.431,20964.632,1156839.435,0.0,0.0
56,Female,Bachelor,Employed,Driver,No,No Loan,0,0.0,0.0,564,2.12,Asia,12381.868,4121.195000000001,315291.416,0.0,0.0
18,Female,Bachelor,Unemployed,Salesperson,Yes,Home,36,3.49,0.88,831,8.6,Asia,18590.568,11540.944,1918934.3769999999,555269.562,16268.11
62,Female,Master,Employed,Teacher,No,No Loan,0,0.0,0.0,675,0.14,Asia,20759.947,7659.261,34375.424,0.0,0.0
31,Female,Bachelor,Self-employed,Unemployed,Yes,Business,120,13.63,3.84,370,1.87,Asia,7637.829,4570.092000000001,171055.56000000003,1917867.618,29352.863
27,Male,Other,Unemployed,Doctor,No,No Loan,0,0.0,0.0,341,2.92,Asia,10881.722000000002,6637.575,380974.809,0.0,0.0
38,Male,High School,Student,Manager,Yes,Business,360,17.54,1.36,583,0.19,Asia,22545.383,11063.988,50563.258,2080850.7400000002,30579.798000000003
66,Male,High School,Employed,Accountant,Yes,Home,300,27.12,0.04,520,4.62,Asia,15501.681,13354.627,860322.968,29356.670000000002,664.298
38,Male,Bachelor,Self-employed,Unemployed,Yes,Home,240,22.25,0.55,497,0.84,Asia,24483.146,8283.656,245589.241,715841.349,13436.313
25,Female,Master,Employed,Teacher,No,No Loan,0,0.0,0.0,793,2.7,Asia,24359.301,9228.45,788832.584,0.0,0.0
34,Male,Master,Self-employed,Student,Yes,Home,180,25.78,2.64,715,9.87,Asia,16450.235,9792.074,1947620.686,1978556.0860000001,43453.051
42,Female,Master,Unemployed,Unemployed,Yes,Education,60,9.1,1.71,647,3.2,Asia,28398.34,20229.270000000004,1089493.887,2333450.313,48551.94
43,Male,High School,Unemployed,Manager,No,No Loan,0,0.0,0.0,472,4.03,Asia,29518.961000000003,16966.859,1426904.396,0.0,0.0
20,Male,Bachelor,Self-employed,Salesperson,No,No Loan,0,0.0,0.0,842,6.35,Asia,42289.331,27132.113,3224503.291,0.0,0.0
56,Female,High School,Unemployed,Driver,No,No Loan,0,0.0,0.0,524,6.95,Asia,22524.28,8560.345,1877786.958,0.0,0.0
51,Female,Bachelor,Employed,Salesperson,No,No Loan,0,0.0,0.0,488,8.69,Asia,2350.0,1620.8890000000001,245148.146,0.0,0.0
47,Male,High School,Employed,Salesperson,No,No Loan,0,0.0,0.0,650,9.7,Asia,15940.99,12636.185000000001,1855140.9949999999,0.0,0.0
38,Male,Bachelor,Employed,Doctor,No,No Loan,0,0.0,0.0,580,1.37,Asia,23380.666999999998,16095.385000000002,384564.52800000005,0.0,0.0
58,Male,High School,Self-employed,Salesperson,No,No Loan,0,0.0,0.0,424,0.87,Asia,14099.53,9472.756000000001,146585.668,0.0,0.0
23,Female,Master,Self-employed,Teacher,Yes,Education,360,7.5,0.02,345,6.44,Asia,24794.568,11695.104000000001,1916251.57,82122.912,574.1990000000001
41,Male,Bachelor,Student,Engineer,No,No Loan,0,0.0,0.0,783,9.22,Asia,23029.06,7111.1,2547748.5050000004,0.0,0.0
34,Male,Master,Employed,Teacher,No,No Loan,0,0.0,0.0,693,4.53,Asia,32588.625,15827.579000000002,1773441.459,0.0,0.0
37,Male,PhD,Self-employed,Engineer,No,No Loan,0,0.0,0.0,624,3.42,Asia,11522.097000000002,9113.817,473317.025,0.0,0.0
67,Female,Bachelor,Self-employed,Doctor,No,No Loan,0,0.0,0.0,374,1.55,Asia,10230.255000000001,6916.191,189835.39700000003,0.0,0.0
20,Male,Bachelor,Unemployed,Accountant,Yes,Car,360,22.14,2.33,599,1.02,Asia,11752.115,5363.64,143286.409,1481496.917,27371.531
47,Male,Master,Employed,Manager,Yes,Business,120,12.27,1.1,627,9.59,Asia,26661.22,22107.108000000004,3069751.7490000003,2030545.7940000002,29450.247000000003
56,Female,Master,Unemployed,Student,No,No Loan,0,0.0,0.0,525,0.6,Asia,6390.214,3076.4790000000003,46235.404,0.0,0.0
69,Other,Other,Employed,Doctor,Yes,Home,300,13.51,0.03,655,8.94,Asia,25312.038,16926.157,2714091.563,62558.457,729.6750000000001
63,Female,Master,Employed,Accountant,No,No Loan,0,0.0,0.0,363,8.81,Asia,29194.849000000002,9102.678,3085075.0179999997,0.0,0.0
20,Female,Master,Employed,Unemployed,Yes,Car,240,9.96,9.24,838,2.81,Asia,2350.0,2065.556,79187.48000000001,2257048.194,21721.238
48,Male,PhD,Employed,Engineer,No,No Loan,0,0.0,0.0,324,1.32,Asia,3918.061,1465.883,62275.51700000001,0.0,0.0
49,Male,High School,Student,Accountant,Yes,Home,120,5.97,0.69,534,9.89,Asia,19876.065,13820.632,2359449.679,1243178.059,13783.126
38,Female,Other,Self-employed,Salesperson,Yes,Education,300,14.0,2.62,670,3.08,Asia,9611.735,3776.1680000000006,355438.675,2089077.1970000002,25147.490999999998
24,Male,Bachelor,Self-employed,Driver,Yes,Car,300,6.12,1.69,623,7.23,Asia,8102.236000000001,6307.212,702862.7220000001,2096410.043,13661.396
48,Male,Bachelor,Employed,Manager,No,No Loan,0,0.0,0.0,569,3.45,Asia,30907.905,21586.301,1279528.611,0.0,0.0
20,Male,Master,Student,Engineer,Yes,Home,60,22.61,3.3,566,8.53,Asia,18616.653,13429.968,1906604.914,2195287.5620000004,61395.301
28,Female,Master,Employed,Student,Yes,Car,300,25.72,0.18,596,9.99,Asia,23063.699,7841.5740000000005,2763700.5330000003,192366.86400000003,4130.1720000000005
19,Female,High School,Self-employed,Engineer,No,No Loan,0,0.0,0.0,451,7.93,Asia,12827.145999999999,5318.614,1220028.5380000002,0.0,0.0
64,Female,Bachelor,Employed,Engineer,No,No Loan,0,0.0,0.0,747,5.55,Asia,18411.827,10454.492,1226633.307,0.0,0.0
67,Female,Bachelor,Employed,Engineer,No,No Loan,0,0.0,0.0,685,2.63,Asia,18081.417,12038.862000000001,571330.449,0.0,0.0
28,Male,High School,Unemployed,Manager,No,No Loan,0,0.0,0.0,462,2.68,Asia,28855.462,9408.601,929439.4290000001,0.0,0.0
29,Male,High School,Employed,Student,No,No Loan,0,0.0,0.0,786,5.95,Asia,5609.121,3259.8260000000005,400752.503,0.0,0.0
69,Female,Bachelor,Self-employed,Unemployed,Yes,Car,360,8.04,0.21,432,9.12,Asia,20074.311,14056.478,2198043.407,558994.6410000001,4117.294
51,Female,Master,Self-employed,Unemployed,Yes,Car,120,27.04,0.3,491,0.86,Asia,20330.884000000002,12267.517000000002,210724.54700000002,248515.931,6014.778
60,Male,Master,Employed,Doctor,No,No Loan,0,0.0,0.0,608,7.02,Asia,13088.842,8868.101,1103106.3560000001,0.0,0.0
57,Female,Master,Employed,Salesperson,No,No Loan,0,0.0,0.0,312,9.38,Asia,15386.719000000001,11214.153,1732533.928,0.0,0.0
41,Male,High School,Self-employed,Engineer,No,No Loan,0,0.0,0.0,373,2.73,Asia,22200.544,18839.48,726310.082,0.0,0.0
48,Male,Bachelor,Employed,Accountant,Yes,Education,240,27.89,0.72,772,0.66,Asia,18048.846,7454.717,142262.937,553635.701,12919.454000000002
65,Female,Master,Employed,Engineer,No,No Loan,0,0.0,0.0,414,4.76,Asia,2376.132,1361.449,135746.669,0.0,0.0
28,Male,Master,Employed,Student,Yes,Car,12,27.17,10.33,433,5.41,Asia,17775.165,13974.039999999999,1154416.773,1910520.4370000002,183601.74
18,Male,High School,Employed,Engineer,Yes,Home,12,6.62,9.1,716,2.87,Asia,17308.69,7555.579,595707.14,1823085.9610000001,157426.5
46,Other,Master,Employed,Unemployed,Yes,Business,180,25.59,1.64,354,9.15,Asia,17457.069,9084.066,1916108.22,1312038.887,28620.697000000004
56,Male,Master,Employed,Student,No,No Loan,0,0.0,0.0,459,3.03,Asia,29830.994000000002,19733.420000000002,1084169.868,0.0,0.0
33,Male,Bachelor,Self-employed,Accountant,Yes,Home,360,14.89,0.79,328,7.32,Asia,24187.093,8595.172,2125237.916,1530567.5019999999,19218.582000000002
30,Other,Master,Self-employed,Manager,No,No Loan,0,0.0,0.0,777,0.41,Asia,20901.605,6887.004,102199.573,0.0,0.0
58,Female,Bachelor,Employed,Teacher,Yes,Education,24,13.29,4.23,544,5.21,Asia,17309.724000000002,7580.818,1081760.319,1536859.956,73274.645
63,Female,Master,Employed,Driver,Yes,Car,24,26.76,3.95,777,6.07,Asia,26677.905,9016.01,1943166.496,1942981.739,105423.53800000002
46,Male,Master,Unemployed,Accountant,No,No Loan,0,0.0,0.0,635,5.64,Asia,24147.19,16061.498000000001,1635026.036,0.0,0.0
23,Female,Bachelor,Unemployed,Student,No,No Loan,0,0.0,0.0,607,8.03,Asia,30194.022,24308.776,2910722.5960000004,0.0,0.0
63,Male,High School,Self-employed,Student,Yes,Car,36,10.33,4.72,821,2.53,Asia,13746.795,9421.056,417641.81200000003,2000559.1360000002,64862.82000000001
21,Female,Master,Employed,Driver,Yes,Car,360,9.52,0.33,431,1.23,Asia,19341.769000000004,14026.821,286166.362,757389.866,6379.592
65,Male,Master,Employed,Teacher,No,No Loan,0,0.0,0.0,480,4.08,Asia,13886.855000000001,7373.595,680353.2470000001,0.0,0.0
65,Female,Bachelor,Employed,Salesperson,No,No Loan,0,0.0,0.0,773,1.07,Asia,24563.845,10207.460000000001,314346.199,0.0,0.0
22,Male,High School,Employed,Teacher,No,No Loan,0,0.0,0.0,746,2.24,Asia,2401.089,1684.715,64533.914000000004,0.0,0.0
69,Female,Master,Self-employed,Doctor,Yes,Education,360,11.85,2.31,672,9.96,Asia,10136.443000000001,4544.383,1211663.1490000002,2305508.484,23448.864
46,Female,Master,Employed,Engineer,Yes,Education,36,11.89,0.05,798,0.36,Asia,41757.949,22501.344000000005,181308.516,63660.184,2111.099
25,Male,Bachelor,Self-employed,Student,No,No Loan,0,0.0,0.0,427,4.95,Asia,23691.572,18964.688000000002,1406730.6330000001,0.0,0.0
25,Female,Master,Employed,Salesperson,No,No Loan,0,0.0,0.0,350,4.25,Asia,39982.806,33774.435000000005,2038628.3370000003,0.0,0.0
68,Male,PhD,Employed,Accountant,Yes,Education,300,10.3,1.66,802,8.45,Asia,12662.505000000001,5301.741,1283886.2160000002,2261314.619,21028.74
36,Male,High School,Employed,Engineer,No,No Loan,0,0.0,0.0,314,8.75,Asia,11314.075,6587.003000000001,1187760.03,0.0,0.0
42,Female,Bachelor,Self-employed,Unemployed,No,No Loan,0,0.0,0.0,427,5.47,Asia,29534.706,24713.446000000004,1939091.831,0.0,0.0
19,Male,High School,Employed,Driver,Yes,Business,12,12.1,11.75,327,5.38,Asia,17753.827,12888.575,1147014.0380000002,2347418.478,208675.112
20,Male,PhD,Employed,Engineer,Yes,Education,120,27.46,3.46,634,8.3,Asia,10801.681,9254.253,1075969.7310000001,1524798.534,37366.175
48,Male,Bachelor,Employed,Student,Yes,Home,60,11.63,2.08,840,3.46,Asia,19317.047000000002,13963.841000000002,801517.3200000001,1817321.2230000002,40086.347
63,Female,Bachelor,Employed,Accountant,No,No Loan,0,0.0,0.0,719,3.53,Asia,14761.431,11919.059,624945.934,0.0,0.0
39,Female,High School,Student,Manager,No,No Loan,0,0.0,0.0,807,8.19,Asia,36772.847,22190.392,3613731.3940000003,0.0,0.0
51,Female,Master,Employed,Student,Yes,Education,24,17.25,2.09,620,8.13,Asia,14902.478,5764.691,1454097.233,627633.8640000001,31107.091
38,Male,Bachelor,Employed,Salesperson,Yes,Business,36,23.45,1.54,849,6.37,Asia,12916.399000000001,4203.022,987639.4349999999,511990.599,19939.28
23,Female,PhD,Employed,Doctor,Yes,Business,24,22.76,3.59,828,2.66,Asia,25610.206,19840.674000000003,817672.4890000001,1759065.8510000003,91918.652
23,Male,Master,Employed,Accountant,Yes,Car,12,11.77,10.91,545,3.89,Asia,14388.157000000001,8392.179,671777.721,1769309.4540000001,157010.691
64,Male,Master,Employed,Driver,Yes,Car,240,17.44,0.9,818,0.22,Asia,28048.895000000004,13429.451000000001,73216.459,1681768.617,25232.467
63,Male,High School,Employed,Doctor,Yes,Car,12,16.37,4.96,685,3.55,Asia,24651.782000000003,8037.423,1050145.769,1345855.904,122346.452
45,Male,Bachelor,Self-employed,Doctor,No,No Loan,0,0.0,0.0,603,4.46,Asia,28349.789,15621.578,1518799.8769999999,0.0,0.0
27,Female,Bachelor,Self-employed,Engineer,No,No Loan,0,0.0,0.0,632,4.61,Asia,25492.377,19618.693,1409520.083,0.0,0.0
44,Male,High School,Employed,Doctor,Yes,Home,12,28.22,44.8,560,0.25,Asia,3611.057,2204.347,10751.532,1674622.455,161791.38999999998
53,Male,Master,Student,Teacher,No,No Loan,0,0.0,0.0,797,7.41,Asia,24832.074,19215.151,2209310.623,0.0,0.0
46,Male,Master,Employed,Doctor,Yes,Business,360,16.84,1.64,709,3.38,Asia,9564.594000000001,4324.141,387455.82700000005,1107656.896,15647.804000000002
57,Female,Master,Employed,Driver,No,No Loan,0,0.0,0.0,755,8.87,Asia,30597.987,23122.637000000002,3257632.651,0.0,0.0
25,Male,High School,Self-employed,Student,No,No Loan,0,0.0,0.0,519,5.1,Asia,6160.901,2847.2599999999998,376747.441,0.0,0.0
67,Male,High School,Self-employed,Unemployed,No,No Loan,0,0.0,0.0,802,7.45,Asia,2350.0,1942.087,210225.266,0.0,0.0
40,Female,Bachelor,Employed,Engineer,Yes,Education,240,21.06,0.18,753,2.92,Asia,21816.742,13823.781,764478.453,225728.263,4023.341
37,Female,High School,Self-employed,Driver,No,No Loan,0,0.0,0.0,668,6.35,Asia,23401.347,19207.349000000002,1782229.942,0.0,0.0
67,Male,PhD,Self-employed,Teacher,No,No Loan,0,0.0,0.0,577,0.22,Asia,21010.269000000004,18092.603,54578.233,0.0,0.0
58,Male,Bachelor,Self-employed,Student,Yes,Car,60,12.3,1.55,529,3.7,Asia,14733.184,12445.647,653370.6880000001,1020138.807,22847.358000000004
60,Male,Master,Unemployed,Teacher,Yes,Education,24,18.93,6.18,787,0.19,Asia,13623.561000000002,6101.822,30923.744000000002,1672043.283,84228.512
63,Male,Bachelor,Employed,Student,No,No Loan,0,0.0,0.0,447,0.3,Asia,17022.131,12358.368,60918.721000000005,0.0,0.0
39,Female,Master,Employed,Doctor,Yes,Business,180,23.2,1.78,712,3.42,Asia,5520.808000000001,4799.264,226696.886,491934.38300000003,9823.611
32,Male,Bachelor,Self-employed,Unemployed,Yes,Education,60,28.9,2.55,404,7.45,Asia,19960.242,12635.809,1784524.67,1605350.894,50859.170000000006
48,Female,Bachelor,Employed,Engineer,Yes,Home,36,15.39,11.07,466,9.46,Asia,5092.7789999999995,2979.8940000000002,577928.356,1617098.638,56366.583
37,Female,Master,Employed,Manager,No,No Loan,0,0.0,0.0,706,0.35,Asia,22442.923000000003,14177.174,93627.384,0.0,0.0
67,Male,Bachelor,Self-employed,Doctor,Yes,Business,300,5.14,0.03,403,2.03,Asia,18985.227,8255.738,462987.882,109012.364,646.2030000000001
54,Male,Master,Employed,Doctor,No,No Loan,0,0.0,0.0,758,5.07,Asia,13156.804000000002,11517.82,801057.9419999999,0.0,0.0
25,Female,Master,Employed,Driver,No,No Loan,0,0.0,0.0,416,9.25,Asia,19371.379,6109.342,2151385.332,0.0,0.0
24,Male,PhD,Employed,Driver,No,No Loan,0,0.0,0.0,792,4.11,Asia,13298.697000000002,10640.612000000001,655973.3130000001,0.0,0.0
31,Male,Other,Self-employed,Doctor,No,No Loan,0,0.0,0.0,529,8.36,Asia,6795.7300000000005,2914.376,681852.829,0.0,0.0
28,Male,Master,Employed,Driver,Yes,Home,360,8.05,0.41,630,9.82,Asia,32574.337000000003,27477.281,3838042.5600000005,1814207.896,13375.307
32,Male,Master,Employed,Student,No,No Loan,0,0.0,0.0,551,0.52,Asia,26104.552,18838.869000000002,161594.60100000002,0.0,0.0
62,Female,Master,Employed,Driver,No,No Loan,0,0.0,0.0,368,9.58,Asia,26277.606,16344.062,3022141.9710000004,0.0,0.0
64,Male,Master,Employed,Salesperson,No,No Loan,0,0.0,0.0,630,8.53,Asia,15572.651,8857.197,1593585.6190000002,0.0,0.0
37,Female,Master,Self-employed,Teacher,Yes,Business,240,4.19,0.05,664,3.9,Asia,12157.302,3828.15,568868.636,94837.822,584.2570000000001
47,Female,Master,Self-employed,Salesperson,Yes,Home,240,6.07,0.88,546,2.72,Asia,14659.112000000001,12601.123000000001,478205.918,1794306.028,12927.538
21,Male,High School,Self-employed,Driver,No,No Loan,0,0.0,0.0,405,5.14,Asia,15356.404,5603.481000000001,946791.4060000001,0.0,0.0
54,Male,Master,Self-employed,Driver,Yes,Business,300,7.26,0.7,317,9.24,Asia,13684.614,9761.383,1518092.9970000002,1331712.946,9634.295
27,Male,Bachelor,Employed,Accountant,No,No Loan,0,0.0,0.0,628,0.97,Asia,16247.336000000001,11458.835000000001,189094.959,0.0,0.0
35,Other,Master,Unemployed,Teacher,Yes,Home,24,28.91,2.8,508,9.02,Asia,25329.898,12648.922000000002,2740852.6580000003,1282908.24,71013.193
20,Male,High School,Self-employed,Engineer,No,No Loan,0,0.0,0.0,677,8.06,Asia,33827.216,20443.214,3271697.542,0.0,0.0
